list_name,review_count,title,url,ASIN
best_seller,"13,103",Big Little Lies,/gp/product-reviews/0425274861/ref=s9_acsd_al_bw_c_x_8_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,0425274861
best_seller,929,Sting,/gp/product-reviews/1455581216/ref=s9_acsd_al_bw_c_x_9_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,1455581216
best_seller,"15,755",Fifty Shades Darker,/gp/product-reviews/0345803493/ref=s9_acsd_al_bw_c_x_10_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-3&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_p=e8decb13-704e-4eef-ae96-a4fee5de7b89&pf_rd_i=549028,0345803493
best_seller,"5,142",Hillbilly Elegy: A Memoir of a Family...,/gp/product-reviews/0062300547/ref=s9_acsd_al_bw_c_x_1_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,0062300547
best_seller,110,This Life I Live: One Man's...,/gp/product-reviews/0718090195/ref=s9_acsd_al_bw_c_x_2_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,0718090195
best_seller,"6,446",Killing the Rising Sun: How America...,/gp/product-reviews/1627790624/ref=s9_acsd_al_bw_c_x_3_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,1627790624
best_seller,"3,199",The Magnolia Story,/gp/product-reviews/0718079183/ref=s9_acsd_al_bw_c_x_4_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,0718079183
best_seller,284,Big Agenda: President Trump’s Plan to...,/gp/product-reviews/1630060879/ref=s9_acsd_al_bw_c_x_5_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,1630060879
best_seller,320,The Book of Joy: Lasting Happiness in...,/gp/product-reviews/0399185046/ref=s9_acsd_al_bw_c_x_6_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,0399185046
best_seller,254,Three Days in January: Dwight...,/gp/product-reviews/0062569031/ref=s9_acsd_al_bw_c_x_7_r_w/167-8299082-6823535?pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-4&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_r=3VB28A3N6CVDMGSKXDDK&pf_rd_t=101&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_p=bc0f7ebe-66fb-4e68-88eb-d2104e7f042a&pf_rd_i=549028,0062569031
